Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Name-additional
2025,1,,6,FrRnd,6,Pirates,Y,$7250000,Seth Hernandez (minors),P,,,,,,,,,,,,,HS,Corona HS (Corona CA),-9999
2025,1,,25,FrRnd,25,Padres,Y,$3606600,Kruz Schoolcraft (minors),P,,,,,,,,,,,,,HS,Sunset HS (Portland OR),-9999
2024,1,,24,FrRnd,24,Braves,Y,$3553800,Cam Caminiti (minors),P,,,,,,,,,,,,,HS,Saguaro HS (Scottsdale AZ),-9999
2024,1,,25,FrRnd,25,Padres,Y,$3442100,Kash Mayfield (minors),P,,,,,,,,,,,,,HS,Elk City HS (Elk City OK),-9999
2024,1,,36,FrRnd,36,Guardians,Y,$2569200,Braylon Doughty (minors),P,,,,,,,,,,,,,HS,Chaparral HS (Temecula CA),-9999
2024,1,,37,FrRnd,37,Pirates,Y,$2508900,Levi Sterling (minors),P,,,,,,,,,,,,,HS,Notre Dame HS (Sherman Oaks CA),-9999
2023,1,,10,FrRnd,10,Marlins,Y,$4500000,Noble Meyer (minors),P,,,,,,,,,,,,,HS,Jesuit HS (Beaverton OR),-9999
2023,1,,33,FrRnd,34,Brewers,Y,$2000000,Josh Knoth (minors),P,,,,,,,,,,,,,HS,Patchogue-Medford HS (Medford NY),-9999
2023,1,,34,FrRnd,35,Twins,Y,$2481400,Charlee Soto (minors),P,,,,,,,,,,,,,HS,Reborn Christian Academy (Kissimmee FL),-9999
2023,1,,35,FrRnd,36,Marlins,Y,$4100000,Thomas White (minors),P,,,,,,,,,,,,,HS,Phillips Academy Andover (Andover MA),-9999
2022,1,,15,FrRnd,15,Padres,Y,$3900000,Dylan Lesko (minors),P,,,,,,,,,,,,,HS,Buford HS (Buford GA),-9999
2022,1,,20,FrRnd,20,Braves,Y,$2556900,Owen Murphy (minors),P,,,,,,,,,,,,,HS,Riverside-Brookfield HS (Riverside IL),-9999
2022,1,,23,FrRnd,23,Blue Jays,Y,$3597500,Brandon Barriera (minors),P,,,,,,,,,,,,,HS,American Heritage HS (Plantation FL),-9999
2022,1,,26,FrRnd,26,White Sox,Y,$2800000,Noah Schultz (minors),P,,,,,,,,,,,,,HS,Oswego East HS (Oswego IL),-9999
2022,1,,35,FrRnd,35,Braves,Y,$2397500,JR Ritchie (minors),P,,,,,,,,,,,,,HS,Bainbridge HS (Bainbridge Island WA),-9999
2022,1,,39,FrRnd,39,Padres,Y,$3000000,Robby Snelling (minors),P,,,,,,,,,,,,,HS,Robert McQueen HS (Reno NV),-9999
2021,1,,3,FrRnd,3,Tigers,Y,$6900000,Jackson Jobe (minors),P,0.6,0,0,0,,,12,4,1,3.91,1.42,0,HS,Heritage Hall School (Oklahoma City OK),jobeja01
2021,1,,7,FrRnd,7,Royals,Y,$3547500,Frank Mozzicato (minors),P,,,,,,,,,,,,,HS,East Catholic HS (Manchester CT),-9999
2021,1,,13,FrRnd,13,Phillies,Y,$3900000,Andrew Painter (minors),P,,,,,,,,,,,,,HS,Calvary Christian Academy (Fort Lauderdale FL),-9999
2021,1,,26,FrRnd,26,Twins,Y,$2500000,Chase Petty (minors),P,-0.8,0,0,,,,3,0,3,19.5,3.67,0,HS,Mainland Regional HS (Linwood NJ),pettych02
2021,1,,29,FrRnd,29,Dodgers,Y,$2197500,Maddux Bruns (minors),P,,,,,,,,,,,,,HS,UMS-Wright Prep (Mobile AL),-9999
2020,1,,15,FrRnd,15,Phillies,Y,$4075000,Mick Abel (minors),P,-0.2,0,0,0,,,10,3,4,6.23,1.51,0,HS,Jesuit HS (Beaverton OR),abelmi01
2020,1,,24,FrRnd,24,Rays,Y,$3000000,Nick Bitsko (minors),P,,,,,,,,,,,,,HS,Central Bucks HS East (Doylestown PA),-9999
2020,1,,34,FrRnd,34,Padres,Y,$2000000,Justin Lange (minors),P,,,,,,,,,,,,,HS,Llano HS (Llano TX),-9999
2019,1,,18,FrRnd,18,Pirates,Y,$3400000,Quinn Priester (minors),P,2.0,0,0,0,,,50,19,12,4.45,1.36,0,HS,Cary-Grove HS (Cary IL),priesqu01
2019,1,,24,FrRnd,24,Indians,Y,$2500000,Daniel Espino (minors),P,,,,,,,,,,,,,HS,Georgia Premier Academy (Statesboro GA),-9999
2019,1,,26,FrRnd,26,Diamondbacks,Y,$2450000,Blake Walston (minors),P,-0.1,0,0,0,,,7,1,0,4.42,1.42,0,HS,New Hanover HS (Wilmington NC),walstbl01
2019,1,,33,FrRnd,33,Diamondbacks,Y,$2202200,Brennan Malone (minors),P,,,,,,,,,,,,,HS,IMG Academy (Bradenton FL),-9999
2019,1,,36,FrRnd,36,Rays,Y,$2042900,JJ Goss (minors),P,,,,,,,,,,,,,HS,Cypress Ranch HS (Cypress TX),-9999
2018,1,,7,FrRnd,7,Padres,Y,$5226500,Ryan Weathers (minors),LHP,1.5,30,27,1,.148,.438,70,12,23,4.93,1.38,1,HS,Loretto HS (Loretto TN),weathry01
2018,1,,8,FrRnd,8,Braves,N,,Carter Stewart (minors),RHP,,,,,,,,,,,,,HS,Eau Gallie HS (Melbourne FL),-9999
2018,1,,11,FrRnd,11,Orioles,Y,$4300000,Grayson Rodriguez (minors),RHP,2.3,0,0,0,,,43,20,8,4.11,1.29,0,HS,Central Heights HS (Nacogdoches TX),rodrigr01
2018,1,,15,FrRnd,15,Rangers,Y,$3150000,Cole Winn (minors),RHP,0.6,0,0,0,,,46,0,2,3.36,1.05,0,HS,Orange Lutheran HS (Orange CA),winnco01
2018,1,,16,FrRnd,16,Rays,Y,$3497500,Matthew Liberatore (minors),LHP,0.4,1,0,0,,,120,16,24,4.63,1.37,0,HS,Mountain Ridge HS (Glendale AZ),liberma01
2018,1,,27,FrRnd,27,Nationals,Y,$3000000,Mason Denaburg (minors),RHP,,,,,,,,,,,,,HS,Merritt Island HS (Merritt Island FL),-9999
2018,1,,30,FrRnd,30,Dodgers,N,,J.T. Ginn (minors),RHP,1.0,0,0,0,,,31,5,8,4.85,1.35,0,HS,Brandon HS (Brandon MS),ginnjt01
2018,1,,35,FrRnd,35,Indians,Y,$2246022,Ethan Hankins (minors),RHP,,,,,,,,,,,,,HS,Forsyth Central HS (Gainesville GA),-9999
2018,1,,36,FrRnd,36,Pirates,N,,Gunnar Hoglund (minors),RHP,-0.2,0,0,,,,6,1,3,6.4,1.52,0,HS,Fivay HS (Hudson FL),hoglugu01
2018,1,,41,FrRnd,41,Indians,Y,$1350000,Lenny Torres (minors),RHP,,,,,,,,,,,,,HS,Beacon HS (Beacon NY),-9999
2017,1,,2,FrRnd,2,Reds,Y,$7230000,Hunter Greene (minors),RHP,13.5,0,0,0,,,91,25,29,3.65,1.14,0,HS,Notre Dame HS (Sherman Oaks CA),greenhu01
2017,1,,3,FrRnd,3,Padres,Y,$6700000,MacKenzie Gore (minors),LHP,6.0,0,0,0,,,105,26,41,4.19,1.40,0,HS,Whiteville HS (Whiteville NC),gorema01
2017,1,,12,FrRnd,12,Pirates,Y,$4100000,Shane Baz (minors),RHP,3.1,0,0,0,,,54,17,17,4.25,1.23,0,HS,Concordia Lutheran HS (Tomball TX),bazsh01
2017,1,,13,FrRnd,13,Marlins,Y,$3400000,Trevor Rogers (minors),LHP,9.4,26,45,0,.067,.154,102,24,37,3.83,1.30,0,HS,Carlsbad HS (Carlsbad NM),rogertr01
2017,1,,21,FrRnd,21,Orioles,Y,$3000000,DL Hall (minors),LHP,0.5,1,0,0,,,62,6,3,4.32,1.36,1,HS,Valdosta HS (Valdosta GA),halldl01
2016,1,,3,FrRnd,3,Braves,Y,$4000000,Ian Anderson (minors),RHP,3.1,22,37,0,.054,.160,59,22,14,4.22,1.37,0,HS,Shenendehowa HS (Clifton Park NY),anderia01
2016,1,,4,FrRnd,4,Rockies,Y,$4800000,Riley Pint (minors),RHP,-0.4,0,0,0,,,5,0,0,22.09,3.82,0,HS,St. Thomas Aquinas HS (Overland Park KS),pintri01
2016,1,,7,FrRnd,7,Marlins,Y,$4069200,Braxton Garrett (minors),LHP,5.8,8,11,0,.182,.364,65,16,19,4.03,1.26,0,HS,Florence HS (Florence AL),garrebr01
2016,1,,9,FrRnd,9,Tigers,Y,$3963045,Matt Manning (minors),RHP,1.8,1,1,0,.000,.000,50,11,15,4.43,1.29,0,HS,Sheldon HS (Sacramento CA),mannima02
2016,1,,12,FrRnd,12,Red Sox,Y,$3650000,Jay Groome (minors),LHP,,,,,,,,,,,,,HS,Barnegat HS (Barnegat NJ),-9999
2016,1,,17,FrRnd,17,Astros,Y,$3148000,Forrest Whitley (minors),RHP,-0.8,0,0,0,,,13,0,0,10.57,2.28,0,HS,Alamo Heights HS (San Antonio TX),whitlfo01
2016,1,,30,FrRnd,30,Rangers,Y,$2003400,Cole Ragans (minors),LHP,7.4,1,0,0,,,83,21,20,3.66,1.19,0,HS,North Florida Christian HS (Tallahassee FL),raganco01
2016,1,,40,FrRnd,40,Braves,Y,$3050000,Joey Wentz (minors),LHP,-1.7,0,0,0,,,117,11,24,5.57,1.53,1,HS,Shawnee Mission East HS (Prairie Village KS),wentzjo01
2016,1,,41,FrRnd,41,Pirates,N,,Nick Lodolo (minors),LHP,8.6,0,0,0,,,76,24,22,4.06,1.21,0,HS,Damien HS (La Verne CA),lodolni01
2015,1,,14,FrRnd,14,Braves,Y,$3042400,Kolby Allard (minors),LHP,-0.1,5,5,0,.200,.400,109,13,26,5.34,1.40,1,HS,San Clemente HS (San Clemente CA),allarko01
2015,1,,17,FrRnd,17,Indians,Y,$2513280,Brady Aiken (minors),LHP,,,,,,,,,,,,,HS,IMG Academy (Bradenton FL),-9999
2015,1,,21,FrRnd,21,Royals,Y,$2190200,Ashe Russell (minors),RHP,,,,,,,,,,,,,HS,Cathedral HS (Indianapolis IN),-9999
2015,1,,22,FrRnd,22,Tigers,Y,$2154200,Beau Burrows (minors),RHP,-0.7,2,0,0,,,11,0,1,10.7,1.98,0,HS,Weatherford HS (Weatherford TX),burrobe01
